region_id,region,n_active_ctas,cta_class,tick_source,mean_ticks,median_ticks,p99_ticks,raw_total_ticks,median_us,frac_of_kernel
0,phase0_pre_attn,1,phase0,globaltimer,12224.0,12224.0,12224.0,12224,,
1,phase1_attn_pre_wo,4,phase1,globaltimer,247288.0,250272.0,250272.0,989152,,
2,phase1_wo_gemv,32,phase1,globaltimer,2283093.0,2345488.0,2498910.72,73058976,,
3,phase1_wo_post,17,phase1,globaltimer,54.588235294117645,32.0,128.0,928,,
4,grid_barrier_wait,64,barrier_wait,globaltimer,1631288.0,1838032.0,2900747.84,104402432,,
5,phase3_load_x,64,phase3,globaltimer,1962.0,1952.0,2016.0,125568,,
6,phase3_partial_reset,64,phase3,globaltimer,78.5,64.0,171.83999999999992,5024,,
7,phase3_3a_fc1_silu,64,phase3,globaltimer,570235.0,569456.0,625770.88,36495040,,
8,phase3_3b_quant,64,phase3,globaltimer,548.5,544.0,576.0,35104,,
9,phase3_3c_fc2_atomic,64,phase3,globaltimer,116816.0,116272.0,176623.36,7476224,,
10,phase3_3d_arrival,64,phase3,globaltimer,318.0,96.0,2619.2,20352,,
11,phase1_pre_wo_wait,28,barrier_wait,globaltimer,250547.42857142858,250528.0,250688.0,7015328,,
12,phase1_gather_reduce,2,dynamic_single,globaltimer,153040.0,153040.0,159515.84,306080,,
