-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       16.081s        78.47%       16.081s     518.752ms            31  
                                 vllm::cute_mlp_forward         0.27%      76.158ms         0.49%     136.313ms     266.237us       12.929s        63.09%       20.296s      39.640ms           512  
kernel_cutlass__kernel_vllmv1attentionbackendscute_p...         0.00%       0.000us         0.00%       0.000us       0.000us       12.929s        63.09%       12.929s      26.066ms           496  
                  execute_context_1(12)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       11.951s        58.32%       11.951s       11.951s             1  
                                    Command Buffer Full        49.75%       13.940s        49.75%       13.940s       2.500ms        7.895s        38.53%        7.895s       1.416ms          5577  
                                            aten::fill_         0.09%      24.646ms         0.30%      83.510ms       7.343us        3.850s        18.78%        3.850s     338.535us         11373  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        3.846s        18.77%        3.846s     487.973us          7882  
                                               aten::mm         0.16%      44.081ms         0.84%     236.217ms      50.909us        1.827s         8.92%        2.050s     441.759us          4640  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us        1.779s         8.68%        1.779s     395.663us          4496  
                              _C::cutlass_scaled_fp4_mm         0.31%      86.684ms         1.14%     320.024ms      77.525us        1.200s         5.86%        1.425s     345.150us          4128  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us        1.200s         5.85%        1.200s     290.591us          4128  
                                  Lazy Function Loading         0.01%       1.998ms         0.01%       1.998ms      33.871us     674.452ms         3.29%     674.452ms      11.431ms            59  
                                            aten::copy_         0.09%      24.200ms         6.76%        1.894s     198.547us     460.217ms         2.25%     477.029ms      49.998us          9541  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     447.819ms         2.19%     447.819ms       6.997ms            64  
                    vllm::unified_attention_with_output         0.48%     135.005ms         3.41%     955.541ms       1.866ms     128.703ms         0.63%     670.823ms       1.310ms           512  
kernel_cutlass__kernel_vllmv1attentionbackendscute_p...         0.00%       0.000us         0.00%       0.000us       0.000us     128.703ms         0.63%     128.703ms     259.482us           496  
                                           Buffer Flush         0.17%      48.516ms         0.17%      48.534ms       4.412ms      44.423ms         0.22%      44.423ms       4.038ms            11  
                                Activity Buffer Request         0.08%      21.284ms         0.09%      24.276ms       1.734ms      36.997ms         0.18%      93.611ms       6.686ms            14  
